,trade_date,open,high,close,low,vol,pct_chg
404,20210104,28.4,28.4,27.78,27.52,1468441.33,-3.2056
403,20210105,27.78,27.93,27.91,27.1,1162658.38,0.468
402,20210106,27.8,28.75,28.75,27.73,1048801.29,3.0097
401,20210107,29.0,29.5,28.79,28.39,1226755.74,0.1391
400,20210108,28.98,29.45,29.34,28.81,1028563.29,1.9104
399,20210111,29.5,30.35,29.78,29.27,1388121.24,1.4997
398,20210112,29.78,29.8,29.7,29.37,980654.37,-0.2686
397,20210113,29.9,30.22,29.9,29.6,940504.23,0.6734
396,20210114,29.93,30.79,29.99,29.8,1216323.23,0.301
395,20210115,30.01,30.73,29.95,29.88,1123372.38,-0.1334
394,20210118,30.2,31.26,31.26,29.83,1258281.68,4.374
393,20210119,31.19,32.35,31.28,30.72,1631688.39,0.064
392,20210120,31.07,31.2,30.5,30.35,961434.54,-2.4936
391,20210121,30.3,30.7,30.1,30.02,875252.61,-1.3115
390,20210122,29.95,29.95,29.26,29.01,1058090.55,-2.7907
389,20210125,29.26,29.6,29.36,28.56,973749.72,0.3418
388,20210126,29.26,30.15,29.7,29.15,816654.58,1.158
387,20210127,29.69,29.95,29.4,29.37,724302.75,-1.0101
386,20210128,29.05,29.07,28.43,28.22,786041.39,-3.2993
385,20210129,28.55,28.65,27.79,27.57,963685.43,-2.2511
384,20210201,27.97,28.12,28.07,27.26,886693.62,1.0076
383,20210202,28.19,28.48,28.34,27.96,716108.37,0.9619
382,20210203,28.34,28.35,27.92,27.78,589610.04,-1.482
381,20210204,27.89,28.35,27.89,27.43,665574.3,-0.1074
380,20210205,28.01,29.34,28.88,28.01,1030260.92,3.5497
379,20210208,29.0,29.76,29.13,28.6,832036.9,0.8657
378,20210209,28.99,29.07,28.75,28.54,673567.66,-1.3045
377,20210210,28.61,28.98,28.83,28.35,652148.96,0.2783
376,20210218,28.95,30.13,30.01,28.95,996922.14,4.093
375,20210219,29.7,30.04,29.84,29.6,758574.53,-0.5665
374,20210222,29.84,30.33,29.73,29.52,852340.85,-0.3686
373,20210223,29.69,30.05,30.01,29.29,861379.81,0.9418
372,20210224,29.92,30.58,29.99,29.5,969948.13,-0.0666
371,20210225,30.49,32.99,32.99,30.41,2595403.85,10.0033
370,20210226,32.57,34.08,33.1,31.62,2529180.39,0.3334
369,20210301,33.1,33.71,33.35,32.29,1280834.15,0.7553
368,20210302,33.0,34.6,33.29,32.9,1220149.89,-0.1799
367,20210303,32.95,33.99,33.5,32.59,1164840.63,0.6308
366,20210304,33.3,34.1,32.69,32.47,1292857.84,-2.4179
365,20210305,32.2,32.69,31.54,31.08,1303283.73,-3.5179
364,20210308,31.9,32.2,31.2,31.2,771959.8,-1.078
363,20210309,31.32,31.66,31.02,30.71,943414.72,-0.5769
362,20210310,31.17,31.2,30.69,30.3,877517.75,-1.0638
361,20210311,30.76,31.46,31.15,30.68,742679.35,1.4989
360,20210312,31.1,32.36,31.49,30.66,901959.92,1.0915
359,20210315,31.3,31.88,31.44,31.25,619315.6,-0.1588
358,20210316,31.49,33.16,32.9,31.3,1205423.17,4.6438
357,20210317,32.65,33.43,32.71,32.36,718970.72,-0.5775
356,20210318,32.6,33.28,32.7,32.48,482135.22,-0.0306
355,20210319,32.5,32.5,31.2,30.85,989922.04,-4.5872
354,20210322,30.86,31.74,31.63,30.85,521950.0,1.3782
353,20210323,31.61,31.66,31.42,31.14,422660.07,-0.6639
352,20210324,31.42,31.5,30.76,30.4,559122.71,-2.1006
351,20210325,30.77,30.95,30.55,30.4,361694.51,-0.6827
350,20210326,30.6,30.96,30.72,30.52,428771.15,0.5565
349,20210329,30.68,31.33,31.0,30.32,519288.28,0.9115
348,20210330,30.99,31.69,31.37,30.8,479099.5,1.1935
347,20210331,30.97,30.97,30.0,29.73,1168413.03,-4.3672
346,20210401,30.0,30.15,29.83,29.57,525118.18,-0.5667
345,20210402,30.0,30.08,30.0,29.65,381349.62,0.5699
344,20210406,30.0,30.0,29.43,29.22,583845.7,-1.9
343,20210407,29.5,29.72,29.7,29.27,488440.53,0.9174
342,20210408,29.4,29.48,29.17,28.98,630400.64,-1.7845
341,20210409,29.3,29.32,28.86,28.73,528595.8,-1.0627
340,20210412,29.01,29.09,28.59,28.5,635227.77,-0.9356
339,20210413,28.7,28.8,28.29,28.13,669694.8,-1.0493
338,20210414,28.4,28.85,28.76,28.31,544164.59,1.6614
337,20210415,28.65,28.89,28.63,28.29,503527.28,-0.452
336,20210416,28.79,28.87,28.87,28.51,395753.23,0.8383
335,20210419,28.83,29.07,29.0,28.45,619893.79,0.4503
334,20210420,28.8,28.92,28.73,28.68,529774.42,-0.931
333,20210421,28.58,28.72,28.65,28.17,551734.25,-0.2785
332,20210422,28.82,29.08,29.02,28.64,560026.06,1.2914
331,20210423,28.5,28.55,28.09,27.92,1292568.62,-3.2047
330,20210426,28.0,28.2,27.7,27.6,859450.4,-1.3884
329,20210427,27.64,27.95,27.93,27.5,511079.23,0.8303
328,20210428,27.94,27.98,27.68,27.58,476120.48,-0.8951
327,20210429,27.78,27.89,27.89,27.5,623862.45,0.7587
326,20210430,28.19,28.47,28.17,27.93,777133.54,1.0039
325,20210506,27.87,28.15,27.92,27.73,489975.5,-0.8875
324,20210507,27.91,28.35,28.0,27.88,491289.28,0.2865
323,20210510,27.99,28.0,27.54,27.28,589667.32,-1.6429
322,20210511,27.31,27.73,27.62,27.1,368855.46,0.2905
321,20210512,27.4,27.4,27.03,26.88,810363.66,-2.1361
320,20210513,26.8,26.97,26.88,26.69,550277.01,-0.5549
319,20210514,26.88,27.11,27.07,26.62,624630.17,0.7068
318,20210517,27.03,27.4,27.12,26.82,582048.4,0.1847
317,20210518,27.18,27.37,27.29,26.97,437485.93,0.6268
316,20210519,27.3,27.35,26.77,26.7,515067.74,-1.9055
315,20210520,26.66,27.0,26.97,26.42,457498.55,0.7471
314,20210521,26.96,26.99,26.57,26.5,495770.12,-1.4831
