,trade_date,open,high,close,low,vol,pct_chg
257,20150302,14.03,14.09,14.03,13.87,1018797.0,0.29
256,20150303,13.98,13.98,13.6,13.59,1059476.29,-3.06
255,20150304,13.62,13.72,13.57,13.5,814973.04,-0.22
254,20150305,13.5,13.53,13.38,13.29,828604.85,-1.4
253,20150306,13.37,13.51,13.44,13.35,557047.74,0.45
252,20150309,13.47,14.34,14.15,13.32,2205323.61,5.28
251,20150310,14.0,14.12,13.77,13.77,1385706.3,-2.69
250,20150311,13.79,14.08,13.86,13.79,903354.13,0.65
249,20150312,14.2,14.96,14.6,14.08,3305137.2,5.34
248,20150313,14.9,15.61,14.99,14.8,3163988.35,2.67
247,20150316,15.1,15.5,15.41,14.92,2218472.46,2.8
246,20150317,15.51,15.8,15.4,15.25,1959841.87,-0.06
245,20150318,15.36,15.58,15.51,15.29,1831000.67,0.71
244,20150319,15.48,15.48,15.19,15.12,1580300.28,-2.06
243,20150320,15.19,15.55,15.32,15.06,1976394.47,0.86
242,20150323,15.33,15.56,15.43,15.33,1782055.83,0.72
241,20150324,15.43,15.59,15.35,15.22,1559193.47,-0.52
240,20150325,15.28,15.32,14.91,14.89,1591468.01,-2.87
239,20150326,14.86,15.42,15.11,14.71,1487891.58,1.34
238,20150327,15.1,15.29,15.08,14.86,1047638.87,-0.2
237,20150330,15.23,15.94,15.66,15.1,2582613.68,3.85
236,20150331,16.04,16.6,15.75,15.63,2733183.21,0.57
235,20150401,15.82,16.14,15.96,15.55,1643316.41,1.33
234,20150402,16.09,16.14,15.8,15.62,1405837.42,-1.0
233,20150403,15.7,15.94,15.85,15.61,1434941.32,0.32
232,20150407,16.15,16.96,16.81,16.15,2960472.28,6.06
231,20150408,16.93,18.08,17.92,16.65,3371646.31,6.6
230,20150409,17.95,19.05,18.0,17.73,3173063.25,0.45
229,20150410,18.0,19.8,19.8,17.85,3340209.79,10.0
228,20150413,17.0,17.16,16.54,16.15,4807153.21,1.1
227,20150414,16.5,16.5,16.3,16.1,2472375.01,-1.45
226,20150415,16.3,17.28,16.65,16.1,3417642.03,2.15
225,20150416,16.34,17.1,17.0,16.25,2467407.21,2.1
224,20150417,17.5,17.5,16.93,16.8,2609523.37,-0.41
223,20150420,17.1,17.2,16.3,16.16,3447257.4,-3.72
222,20150421,16.32,16.7,16.56,15.98,2415936.96,1.6
221,20150422,16.58,16.98,16.95,16.5,2773141.72,2.36
220,20150423,16.98,17.04,16.66,16.56,2319688.4,-1.71
219,20150424,16.3,16.51,16.14,16.01,2442836.92,-3.12
218,20150427,16.21,16.6,16.42,16.2,2460563.58,1.73
217,20150428,16.45,17.38,16.7,16.22,4763544.06,1.71
216,20150429,16.66,16.75,16.65,16.2,2151188.39,-0.3
215,20150430,16.83,17.26,16.7,16.68,2890635.41,0.3
214,20150504,16.7,16.7,16.52,16.28,1427575.11,-1.08
213,20150505,16.41,16.52,15.86,15.5,2299341.73,-4.0
212,20150506,15.82,16.3,15.72,15.49,1949911.08,-0.88
211,20150507,15.72,15.88,15.67,15.5,1258707.51,-0.32
210,20150508,15.71,15.98,15.85,15.5,1374468.4,1.15
209,20150511,15.8,16.12,16.03,15.49,2123077.24,1.14
208,20150512,15.98,16.18,15.96,15.65,1989655.59,-0.44
207,20150513,16.18,16.25,15.88,15.74,1756561.58,-0.5
206,20150514,16.0,16.05,15.89,15.69,1438027.64,0.06
205,20150515,15.8,15.88,15.45,15.27,1752716.51,-2.77
204,20150518,15.2,15.35,15.18,14.97,1537084.21,-1.75
203,20150519,15.17,15.74,15.59,15.05,1917812.67,2.7
202,20150520,16.01,16.15,15.74,15.6,2589666.91,0.96
201,20150521,15.8,15.89,15.79,15.62,1405846.6,0.32
200,20150522,15.91,16.3,16.27,15.82,2621907.76,3.04
199,20150525,16.35,16.71,16.6,16.35,2730369.5,2.03
198,20150526,16.63,16.7,16.62,16.28,2792208.75,0.12
197,20150527,16.62,16.91,16.48,16.4,2341217.74,-0.84
196,20150528,16.5,16.51,15.5,15.43,2733061.15,-5.95
195,20150529,15.51,15.67,15.32,15.11,2014932.91,-1.16
194,20150601,15.33,15.98,15.9,15.19,2158362.3,3.79
193,20150602,15.89,15.9,15.77,15.52,1904822.03,-0.82
192,20150603,15.77,15.95,15.83,15.5,1975231.79,0.38
191,20150604,15.85,16.58,16.37,15.66,3682532.72,3.41
190,20150605,16.7,16.8,16.3,16.03,2855456.24,-0.43
189,20150608,16.32,17.45,17.29,16.19,5086050.27,6.07
188,20150609,17.36,17.45,16.98,16.68,3286967.53,-1.79
187,20150610,16.8,16.93,16.68,16.53,2198386.55,-1.77
186,20150611,16.68,16.77,16.48,16.35,1706960.45,-1.2
185,20150612,16.48,16.63,16.51,16.31,1903388.79,0.18
184,20150615,16.53,16.6,15.92,15.9,2192176.61,-3.57
183,20150616,15.8,16.06,15.64,15.5,1812179.84,-1.76
182,20150617,15.83,15.89,15.73,15.45,1715942.25,0.58
181,20150618,15.68,15.68,15.38,15.01,1602554.82,-2.23
180,20150619,15.25,15.39,14.63,14.5,1565520.48,-4.88
179,20150623,14.64,14.97,14.95,14.11,1805488.12,2.19
178,20150624,15.0,15.13,15.12,14.7,1531996.12,1.14
177,20150625,15.58,15.63,14.87,14.76,2079164.88,-1.65
176,20150626,14.64,14.95,13.77,13.38,2555321.75,-7.4
175,20150629,14.08,14.15,13.56,12.75,2612943.2,-1.53
174,20150630,13.54,14.54,14.54,13.38,2548103.13,7.23
173,20150701,14.35,14.59,13.92,13.74,1835406.16,-4.26
172,20150702,13.9,14.31,13.75,13.38,1982826.26,-1.22
171,20150703,13.98,13.99,13.07,12.79,2597458.2,-4.95
170,20150706,14.3,14.31,13.88,13.29,3381526.67,6.2
169,20150707,13.66,14.65,14.65,13.21,4808311.89,5.55
168,20150708,13.81,14.0,13.19,13.19,4996696.94,-9.97
167,20150709,13.19,14.44,14.26,12.11,4344355.42,8.11
166,20150710,13.85,15.36,14.86,13.61,4650987.78,4.21
165,20150713,14.4,14.89,14.44,14.12,3268196.05,-2.83
164,20150714,14.2,14.38,13.87,13.51,2580229.55,-3.95
163,20150715,13.66,13.96,13.58,13.4,1626423.18,-2.09
162,20150716,13.6,13.76,13.6,13.42,1388939.85,0.15
161,20150717,13.66,13.94,13.82,13.53,1680637.66,1.62
160,20150720,13.8,13.8,13.6,13.53,1358683.08,-1.59
159,20150721,13.51,13.64,13.57,13.38,1131643.52,-0.22
158,20150722,13.49,13.54,13.52,13.34,1138090.62,-0.37
157,20150723,13.46,13.75,13.67,13.41,1483696.14,1.11
156,20150724,13.68,13.7,13.38,13.32,1339309.97,-2.12
155,20150727,13.25,13.32,12.44,12.04,1787859.18,-7.03
154,20150728,12.19,12.76,12.62,12.15,2011200.81,1.45
153,20150729,12.6,12.62,12.6,12.38,971682.92,-0.16
152,20150730,12.61,12.64,12.26,12.23,770278.94,-2.7
151,20150731,12.16,12.42,12.36,12.02,1202746.87,0.82
150,20150803,12.2,12.85,12.82,12.15,1405122.71,3.72
149,20150804,12.77,12.99,12.86,12.59,774937.58,0.31
148,20150805,12.8,12.95,12.59,12.57,551802.37,-2.1
147,20150806,12.5,12.73,12.53,12.43,450218.45,-0.48
146,20150807,12.61,12.72,12.61,12.54,622010.3,0.64
145,20150810,12.66,12.99,12.92,12.55,1053111.95,2.46
144,20150811,12.91,12.95,12.84,12.79,828493.36,-0.62
143,20150812,12.69,12.77,12.57,12.56,686822.07,-2.1
142,20150813,12.51,12.67,12.57,12.42,606344.41,0.0
141,20150814,12.69,12.75,12.64,12.58,823789.29,0.56
140,20150817,12.61,12.69,12.54,12.45,679642.57,-0.79
139,20150818,12.5,12.74,12.27,11.95,1176324.41,-2.15
138,20150819,12.1,12.23,12.23,11.9,958894.23,-0.33
137,20150820,12.17,12.17,12.05,11.9,677634.39,-1.47
136,20150821,11.9,11.99,11.5,11.46,933367.84,-4.56
135,20150824,11.1,11.17,10.35,10.35,1518029.68,-10.0
134,20150825,9.85,10.35,9.46,9.32,2192333.75,-8.6
133,20150826,9.6,10.23,9.91,9.3,2491919.59,4.76
132,20150827,10.16,10.9,10.8,9.86,1849235.65,8.98
131,20150828,10.89,11.09,10.83,10.55,1608029.69,0.28
130,20150831,10.71,11.07,11.07,10.48,1464297.25,2.22
129,20150901,10.9,11.61,11.57,10.61,2657661.35,4.52
128,20150902,11.18,12.0,11.84,11.06,2815746.76,2.33
127,20150907,11.55,11.56,10.89,10.89,1376110.64,-8.02
126,20150908,10.88,11.15,11.0,10.59,747292.45,1.01
125,20150909,11.03,11.19,11.1,10.88,851073.89,0.91
124,20150910,11.0,11.18,11.05,10.94,465205.63,-0.45
123,20150911,11.02,11.12,10.96,10.88,426450.78,-0.81
122,20150914,10.99,11.0,10.87,10.45,756452.73,-0.82
121,20150915,10.69,10.85,10.57,10.5,542839.0,-2.76
120,20150916,10.59,11.08,10.9,10.52,569243.77,3.12
119,20150917,10.85,11.14,10.77,10.77,620798.54,-1.19
118,20150918,10.84,10.96,10.81,10.73,318272.82,0.37
117,20150921,10.7,10.89,10.82,10.65,386111.11,0.09
116,20150922,10.83,11.06,10.96,10.82,492955.6,1.29
115,20150923,10.86,10.91,10.7,10.68,371150.84,-2.37
114,20150924,10.76,10.81,10.71,10.67,258632.55,0.09
113,20150925,10.69,10.71,10.55,10.45,446420.6,-1.49
112,20150928,10.56,10.59,10.53,10.43,199087.27,-0.19
111,20150929,10.45,10.56,10.38,10.32,333603.56,-1.42
110,20150930,10.4,10.59,10.49,10.39,364659.73,1.06
109,20151008,10.85,10.89,10.7,10.7,494070.85,2.0
108,20151009,10.75,10.95,10.9,10.72,474612.06,1.87
107,20151012,10.96,11.38,11.23,10.91,849665.15,3.03
106,20151013,11.2,11.26,11.13,11.09,359798.19,-0.89
105,20151014,11.04,11.15,10.98,10.94,418980.65,-1.35
104,20151015,10.95,11.17,11.17,10.94,485900.5,1.73
103,20151016,11.21,11.3,11.23,11.16,570001.45,0.54
102,20151019,11.27,11.35,11.26,11.15,723371.53,0.27
101,20151020,11.2,11.38,11.32,11.19,715163.28,0.53
100,20151021,11.29,11.75,11.22,11.18,1332629.04,-0.88
99,20151022,11.25,11.4,11.33,11.18,822805.73,0.98
98,20151023,11.39,11.53,11.47,11.34,937425.11,1.24
97,20151026,11.6,11.81,11.52,11.44,1085917.54,0.44
96,20151027,11.5,11.64,11.48,11.34,580436.37,-0.35
95,20151028,11.46,11.48,11.27,11.25,544811.17,-1.83
94,20151029,11.3,11.36,11.27,11.25,316703.68,0.0
93,20151030,11.3,11.42,11.36,11.27,535930.72,0.8
92,20151102,11.27,11.32,11.14,11.1,484435.81,-1.94
91,20151103,11.15,11.21,11.05,11.01,391265.18,-0.81
90,20151104,11.08,11.7,11.69,11.05,1307244.19,5.79
89,20151105,11.6,12.57,12.07,11.55,2292189.8,3.25
88,20151106,12.02,12.41,12.39,11.92,1463194.95,2.65
87,20151109,12.5,13.38,12.94,12.46,2413887.79,4.44
86,20151110,12.8,13.07,12.75,12.61,1125027.63,-1.47
85,20151111,12.7,12.78,12.55,12.38,1021735.07,-1.57
84,20151112,12.6,12.65,12.4,12.28,671139.62,-1.2
83,20151113,12.22,12.48,12.24,12.19,587555.04,-1.29
82,20151116,12.13,12.39,12.34,12.09,559848.71,0.82
81,20151117,12.41,12.7,12.5,12.36,1046486.56,1.3
80,20151118,12.46,12.7,12.42,12.31,793704.76,-0.64
79,20151119,12.4,12.51,12.5,12.33,471120.67,0.64
